county,precinct_name,votes,election_day,early_voting,provisional,polling_place_votes_ds200,early_votes_ds200,party,office,district,candidate,precinct_designation,subjurisdiction,votes_allowed,referendum_flag
Apache,ALPINE,360,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,0,,0, 
Apache,CANYON DE CHELLY,3664,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,0,,0, 
Apache,CHINLE,1850,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,0,,0, 
Apache,CONCHO,1782,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,0,,0, 
Apache,CORNFIELDS,726,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,COTTONWOOD,1372,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,CORONADO,838,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,DENNEHOTSO,1037,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,EAGAR,1152,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,FLAT TOP,841,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,FT. DEFIANCE,2769,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,1,,0, 
Apache,GANADO NORTH,755,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,2,,0, 
Apache,GANADO SOUTH,1201,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,2,,0, 
Apache,GREER,145,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,2,,0, 
Apache,HOUCK,1101,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,2,,0, 
Apache,KINLICHEE,988,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,2,,0, 
Apache,KLAGETOH,854,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,3,,0, 
Apache,LUKACHUKAI,1785,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,3,,0, 
Apache,LUPTON,663,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,3,,0, 
Apache,MCNARY,188,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,3,,0, 
Apache,MANY FARMS,1824,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,3,,0, 
Apache,MEXICAN WATER,244,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,4,,0, 
Apache,NAZLINI,1047,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,4,,0, 
Apache,NUTRIOSO,325,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,4,,0, 
Apache,OAK SPRINGS,465,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,4,,0, 
Apache,PUERCO EAST & 49 PUERCO WE,1418,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,4,T,0, 
Apache,RED MESA,390,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,5,,0, 
Apache,RED VALLEY,883,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,5,,0, 
Apache,ROCK POINT,1331,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,5,,0, 
Apache,ROUGH ROCK,844,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,5,,0, 
Apache,ROUND ROCK,944,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,5,,0, 
Apache,ROUND VALLEY,698,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,5,,0, 
Apache,ST. JOHNS,1363,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,6,,0, 
Apache,ST. MICHAELS,1919,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,6,,0, 
Apache,SAWMILL,698,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,6,,0, 
Apache,SPRINGERVILLE,924,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,7,,0, 
Apache,STEAMBOAT,1264,0,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,7,,0, 
