county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional
Gila,Globe No. 1,Registered Voters,,,,53,0,0,0
Gila,Globe No. 2,Registered Voters,,,,22,0,0,0
Gila,Globe No. 3,Registered Voters,,,,12,0,0,0
Gila,Globe No. 4,Registered Voters,,,,57,0,0,0
Gila,Globe No. 6,Registered Voters,,,,81,0,0,0
Gila,Globe No. 7,Registered Voters,,,,42,0,0,0
Gila,Globe No. 8,Registered Voters,,,,55,0,0,0
Gila,Globe No. 11,Registered Voters,,,,64,0,0,0
Gila,East Globe,Registered Voters,,,,74,0,0,0
Gila,Miami No. 1,Registered Voters,,,,39,0,0,0
Gila,Miami No. 3,Registered Voters,,,,53,0,0,0
Gila,Claypool No. 1,Registered Voters,,,,76,0,0,0
Gila,Claypool No. 2,Registered Voters,,,,68,0,0,0
Gila,Claypool No. 3,Registered Voters,,,,44,0,0,0
Gila,Central Heights,Registered Voters,,,,45,0,0,0
Gila,Pinal Creek,Registered Voters,,,,22,0,0,0
Gila,Wheatfields,Registered Voters,,,,12,0,0,0
Gila,Payson No. 1,Registered Voters,,,,109,0,0,0
Gila,Payson No. 2,Registered Voters,,,,177,0,0,0
Gila,Payson No. 3,Registered Voters,,,,236,0,0,0
Gila,Payson No. 4,Registered Voters,,,,101,0,0,0
Gila,Payson No. 5,Registered Voters,,,,153,0,0,0
Gila,Payson No. 6,Registered Voters,,,,100,0,0,0
Gila,Payson No. 7,Registered Voters,,,,80,0,0,0
Gila,Payson No. 8,Registered Voters,,,,123,0,0,0
Gila,Star Valley,Registered Voters,,,,206,0,0,0
Gila,Copper Basin,Registered Voters,,,,67,0,0,0
Gila,Gisela,Registered Voters,,,,44,0,0,0
Gila,Pine-Strawberry East,Registered Voters,,,,55,0,0,0
Gila,Pine-Strawberry West,Registered Voters,,,,158,0,0,0
Gila,Roosevelt,Registered Voters,,,,17,0,0,0
Gila,Sierra Ancha,Registered Voters,,,,12,0,0,0
Gila,Tonto Basin,Registered Voters,,,,109,0,0,0
Gila,Whispering Pines,Registered Voters,,,,23,0,0,0
Gila,Young,Registered Voters,,,,52,0,0,0
Gila,Zane Grey,Registered Voters,,,,50,0,0,0
Gila,Canyon Day,Registered Voters,,,,50,0,0,0
Gila,Carrizo,Registered Voters,,,,5,0,0,0
Gila,San Carlos,Registered Voters,,,,224,0,0,0
Gila,Globe No. 1,Ballots Cast,,,,36,27,7,1
Gila,Globe No. 2,Ballots Cast,,,,15,12,1,0
Gila,Globe No. 3,Ballots Cast,,,,8,7,0,0
Gila,Globe No. 4,Ballots Cast,,,,39,31,6,1
Gila,Globe No. 6,Ballots Cast,,,,54,45,8,1
Gila,Globe No. 7,Ballots Cast,,,,30,23,5,1
Gila,Globe No. 8,Ballots Cast,,,,32,25,5,1
Gila,Globe No. 11,Ballots Cast,,,,47,38,8,1
Gila,East Globe,Ballots Cast,,,,52,42,7,2
Gila,Miami No. 1,Ballots Cast,,,,24,20,3,0
Gila,Miami No. 3,Ballots Cast,,,,31,22,7,1
Gila,Claypool No. 1,Ballots Cast,,,,46,34,10,1
Gila,Claypool No. 2,Ballots Cast,,,,41,31,8,1
Gila,Claypool No. 3,Ballots Cast,,,,25,19,5,1
Gila,Central Heights,Ballots Cast,,,,24,18,5,1
Gila,Pinal Creek,Ballots Cast,,,,17,14,2,0
Gila,Wheatfields,Ballots Cast,,,,8,6,1,0
Gila,Payson No. 1,Ballots Cast,,,,74,60,11,2
Gila,Payson No. 2,Ballots Cast,,,,130,113,14,2
