county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Yavapai,EAGLE (201.00),Registered Voters,,,,8798,,,
Yavapai,COURT (202.00),Registered Voters,,,,6598,,,
Yavapai,FAIR (203.00),Registered Voters,,,,5017,,,
Yavapai,GOLF (204.00),Registered Voters,,,,7005,,,
Yavapai,MINE (205.00),Registered Voters,,,,1010,,,
Yavapai,HILL (206.00),Registered Voters,,,,87,,,
Yavapai,MESQUITE (207.00),Registered Voters,,,,1513,,,
Yavapai,YARN (208.00),Registered Voters,,,,893,,,
Yavapai,WICK (209.00),Registered Voters,,,,1293,,,
Yavapai,WALNUT (210.00),Registered Voters,,,,65,,,
Yavapai,SPRINGS (211.00),Registered Voters,,,,34,,,
Yavapai,PLEASANT (212.00),Registered Voters,,,,0,,,
Yavapai,SKULL (213.00),Registered Voters,,,,392,,,
Yavapai,KIRK (214.00),Registered Voters,,,,795,,,
Yavapai,BUCK (215.00),Registered Voters,,,,4721,,,
Yavapai,CREEK (216.00),Registered Voters,,,,2733,,,
Yavapai,WIND (217.00),Registered Voters,,,,129,,,
Yavapai,WELL (218.00),Registered Voters,,,,3052,,,
Yavapai,FORT (219.00),Registered Voters,,,,7439,,,
Yavapai,RIM (220.00),Registered Voters,,,,39,,,
Yavapai,SALT (221.00),Registered Voters,,,,423,,,
Yavapai,BUG (222.00),Registered Voters,,,,3852,,,
Yavapai,SUNSET (223.00),Registered Voters,,,,2003,,,
Yavapai,TOWERS (224.00),Registered Voters,,,,119,,,
Yavapai,IRON (225.00),Registered Voters,,,,7405,,,
Yavapai,SPIRIT (226.00),Registered Voters,,,,68,,,
Yavapai,RUBY (227.00),Registered Voters,,,,5986,,,
Yavapai,SCARLET (228.00),Registered Voters,,,,5099,,,
Yavapai,ONYX (229.00),Registered Voters,,,,8421,,,
Yavapai,AZURE (230.00),Registered Voters,,,,7365,,,
Yavapai,QUAIL (231.00),Registered Voters,,,,421,,,
Yavapai,GHOST (232.00),Registered Voters,,,,2812,,,
Yavapai,BRIDGE (233.00),Registered Voters,,,,83,,,
Yavapai,WATSON (234.00),Registered Voters,,,,9709,,,
Yavapai,RANCH (235.00),Registered Voters,,,,5146,,,
Yavapai,CAMP (236.00),Registered Voters,,,,696,,,
Yavapai,BASIN (237.00),Registered Voters,,,,7167,,,
Yavapai,GRAZE (238.00),Registered Voters,,,,8836,,,
Yavapai,COYOTE (239.00),Registered Voters,,,,4060,,,
Yavapai,CARS (240.00),Registered Voters,,,,1081,,,
Yavapai,STONE (241.00),Registered Voters,,,,677,,,
Yavapai,WATER (242.00),Registered Voters,,,,6836,,,
Yavapai,BURRO (243.00),Registered Voters,,,,8554,,,
Yavapai,BISON (244.00),Registered Voters,,,,11543,,,
Yavapai,BIGHORN (245.00),Registered Voters,,,,5823,,,
Yavapai,LASSO (246.00),Registered Voters,,,,252,,,
Yavapai,CHAPS (247.00),Registered Voters,,,,2,,,
Yavapai,SPURS (248.00),Registered Voters,,,,0,,,
Yavapai,EAGLE (201.00),Ballots Cast,,,,7179,692,6476,11
Yavapai,COURT (202.00),Ballots Cast,,,,4847,635,4203,9
Yavapai,FAIR (203.00),Ballots Cast,,,,3932,417,3502,13
Yavapai,GOLF (204.00),Ballots Cast,,,,5768,582,5179,7
Yavapai,MINE (205.00),Ballots Cast,,,,530,285,239,6
Yavapai,HILL (206.00),Ballots Cast,,,,66,15,51,0
Yavapai,MESQUITE (207.00),Ballots Cast,,,,1198,274,924,0
Yavapai,YARN (208.00),Ballots Cast,,,,714,193,519,2
Yavapai,WICK (209.00),Ballots Cast,,,,1191,240,949,2
Yavapai,WALNUT (210.00),Ballots Cast,,,,58,7,50,1
Yavapai,SPRINGS (211.00),Ballots Cast,,,,26,0,26,0
Yavapai,PLEASANT (212.00),Ballots Cast,,,,0,0,0,0
Yavapai,SKULL (213.00),Ballots Cast,,,,317,46,271,0
