county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Pima,001,Registered Voters,,,,1771,1771,1771,1771
Pima,001,Ballots Cast,,,,1288,980,275,33
Pima,001,President,,DEM,Kamala D. HARRIS / Tim WALZ,654,546,91,17
Pima,001,President,,REP,Donald J. TRUMP / JD VANCE,603,411,176,16
Pima,001,President,,LBT,Chase OLIVER / Mike ter MATT,5,4,1,0
Pima,001,President,,GRN,Jill STEIN / Rudolph WARE,8,6,2,0
Pima,001,President,,,Write-In Totals,3,3,0,0
Pima,001,President,,,Not Assigned,2,2,0,0
Pima,001,President,,,Total Votes,1273,970,270,33
Pima,001,U.S. Senate,,DEM,Ruben GALLEGO,687,562,105,20
Pima,001,U.S. Senate,,REP,Kari LAKE,537,373,152,12
Pima,001,U.S. Senate,,GRN,Eduardo QUINTANA,38,26,12,0
Pima,001,U.S. Senate,,,Write-In Totals,0,0,0,0
Pima,001,U.S. Senate,,,Not Assigned,0,0,0,0
Pima,001,U.S. Senate,,,Total Votes,1262,961,269,32
Pima,001,U.S. House,7,DEM,Raul M. GRIJALVA,676,557,101,18
Pima,001,U.S. House,7,REP,Daniel Francis BUTIEREZ SR.,557,385,159,13
Pima,001,U.S. House,7,,Write-In Totals,2,2,0,0
Pima,001,U.S. House,7,,Not Assigned,2,2,0,0
Pima,001,U.S. House,7,,Total Votes,1235,944,260,31
Pima,001,State Senate,23,DEM,Brian FERNANDEZ,655,551,96,8
Pima,001,State Senate,23,REP,Michelle ALTHERR,561,390,159,12
Pima,001,State Senate,23,,Write-In Totals,0,0,0,0
Pima,001,State Senate,23,,Not Assigned,0,0,0,0
Pima,001,State Senate,23,,Total Votes,1216,941,255,20
Pima,001,State House,23,DEM,Matias ROSALES,567,486,76,5
Pima,001,State House,23,DEM,Mariana SANDOVAL,575,496,72,7
Pima,001,State House,23,REP,Michele PENA,575,398,166,11
Pima,001,State House,23,,Write-In Totals,8,6,2,0
Pima,001,State House,23,,Not Assigned,8,6,2,0
Pima,001,State House,23,,Total Votes,1725,1386,316,23
Pima,001,Corporation Commissioner,,DEM,Ylenia AGUILAR,593,509,79,5
Pima,001,Corporation Commissioner,,DEM,Jonathon HILL,529,466,59,4
Pima,001,Corporation Commissioner,,DEM,Joshua POLACHECK,485,436,46,3
Pima,001,Corporation Commissioner,,REP,Rene LOPEZ,476,340,126,10
Pima,001,Corporation Commissioner,,REP,Lea MARQUEZ PETERSON,446,320,118,8
Pima,001,Corporation Commissioner,,REP,Rachel WALDEN,456,324,123,9
Pima,001,Corporation Commissioner,,GRN,Mike CEASE,48,30,17,1
Pima,001,Corporation Commissioner,,GRN,Nina LUXENBERG,42,30,12,0
Pima,001,Corporation Commissioner,,,Write-In Totals,8,8,0,0
Pima,001,Corporation Commissioner,,,Not Assigned,8,8,0,0
Pima,001,Corporation Commissioner,,,Total Votes,3083,2463,580,40
Pima,001,Board of Supervisors District 3,3,DEM,"Jennifer ""Jen"" Allen",640,543,91,6
Pima,001,Board of Supervisors District 3,3,REP,"Janet ""JL"" WITTENBRAKER",545,376,155,14
Pima,001,Board of Supervisors District 3,3,IND,Iman-Utupia Layjou Bah,30,20,10,0
Pima,001,Board of Supervisors District 3,3,,Write-In Totals,1,1,0,0
Pima,001,Board of Supervisors District 3,3,,Not Assigned,1,1,0,0
Pima,001,Board of Supervisors District 3,3,,Total Votes,1216,940,256,20
Pima,001,County Assessor,,DEM,Suzanne DROUBIE,865,684,168,13
Pima,001,County Assessor,,,Write-In Totals,40,24,15,1
Pima,001,County Assessor,,,Not Assigned,40,24,15,1
Pima,001,County Assessor,,,Total Votes,905,708,183,14
Pima,001,County Attorney,,DEM,Laura CONOVER,702,577,118,7
Pima,001,County Attorney,,GRN,Howard DRUAN,302,204,90,8
Pima,001,County Attorney,,,Write-In Totals,20,12,7,1
Pima,001,County Attorney,,,Not Assigned,20,12,7,1
Pima,001,County Attorney,,,Total Votes,1024,793,215,16
Pima,001,County Recorder,,DEM,Gabriella CAZARES-KELLY,659,551,102,6
Pima,001,County Recorder,,REP,Dominic CAMPBELL-GONZALEZ,540,372,155,13
Pima,001,County Recorder,,,Write-In Totals,2,1,0,1
Pima,001,County Recorder,,,Not Assigned,2,1,0,1
