county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Santa Cruz,Nogales 1,Registered Voters,,,,609,609,609,609
Santa Cruz,Nogales 1,Ballots Cast,,,,307,203,100,4
Santa Cruz,Nogales 1,President,,DEM,Kamala D. HARRIS / Tim WALZ,214,148,65,1
Santa Cruz,Nogales 1,President,,REP,Donald J. TRUMP / JD VANCE,80,47,30,3
Santa Cruz,Nogales 1,President,,LBT,Chase OLIVER / Mike ter MATT,3,2,1,0
Santa Cruz,Nogales 1,President,,GRN,Jill STEIN / Rudolph WARE,1,1,0,0
Santa Cruz,Nogales 1,President,,,Write-In Totals,2,2,0,0
Santa Cruz,Nogales 1,President,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,President,,,Total Votes,300,200,96,4
Santa Cruz,Nogales 1,President,,,Over Votes,5,2,3,0
Santa Cruz,Nogales 1,President,,,Under Votes,2,1,1,0
Santa Cruz,Nogales 1,U.S. Senate,,DEM,Ruben GALLEGO,220,154,65,1
Santa Cruz,Nogales 1,U.S. Senate,,REP,Kari LAKE,60,33,24,3
Santa Cruz,Nogales 1,U.S. Senate,,GRN,Eduardo QUINTANA,17,10,7,0
Santa Cruz,Nogales 1,U.S. Senate,,,Write-In Totals,0,0,0,0
Santa Cruz,Nogales 1,U.S. Senate,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,U.S. Senate,,,Total Votes,297,197,96,4
Santa Cruz,Nogales 1,U.S. Senate,,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,U.S. Senate,,,Under Votes,10,6,4,0
Santa Cruz,Nogales 1,U.S. House,7,DEM,Raul M. GRIJALVA,215,145,69,1
Santa Cruz,Nogales 1,U.S. House,7,REP,Danial BUTIEREZ SR.,82,53,26,3
Santa Cruz,Nogales 1,U.S. House,7,,Write-In Totals,0,0,0,0
Santa Cruz,Nogales 1,U.S. House,7,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,U.S. House,7,,Total Votes,297,198,95,4
Santa Cruz,Nogales 1,U.S. House,7,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,U.S. House,7,,Under Votes,10,5,5,0
Santa Cruz,Nogales 1,State Senate,21,DEM,Rosanna GABALDON,245,166,78,1
Santa Cruz,Nogales 1,State Senate,21,,Write-In Totals,6,1,4,1
Santa Cruz,Nogales 1,State Senate,21,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,State Senate,21,,Total Votes,251,167,82,2
Santa Cruz,Nogales 1,State Senate,21,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,State Senate,21,,Under Votes,56,36,18,2
Santa Cruz,Nogales 1,State House,21,DEM,Consuelo HERNANDEZ,222,157,65,0
Santa Cruz,Nogales 1,State House,21,DEM,Stephanie STAHL HAMILTON,149,114,35,0
Santa Cruz,Nogales 1,State House,21,REP,Christopher KIBBEY,71,40,28,3
Santa Cruz,Nogales 1,State House,21,,Write-In Totals,1,1,0,0
Santa Cruz,Nogales 1,State House,21,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,State House,21,,Total Votes,443,312,128,3
Santa Cruz,Nogales 1,State House,21,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,State House,21,,Under Votes,171,94,72,5
Santa Cruz,Nogales 1,Corporation Commissioner,,DEM,Ylenia AGUILAR,213,151,60,2
Santa Cruz,Nogales 1,Corporation Commissioner,,DEM,Jonathon HILL,150,114,34,2
Santa Cruz,Nogales 1,Corporation Commissioner,,DEM,Joshua POLACHECK,136,108,27,1
Santa Cruz,Nogales 1,Corporation Commissioner,,REP,Rene LOPEZ,73,42,31,0
Santa Cruz,Nogales 1,Corporation Commissioner,,REP,Lea MARQUEZ PETERSON,54,35,19,0
Santa Cruz,Nogales 1,Corporation Commissioner,,REP,Rachel WALDEN,45,30,14,1
Santa Cruz,Nogales 1,Corporation Commissioner,,GRN,Mike CEASE,8,4,4,0
Santa Cruz,Nogales 1,Corporation Commissioner,,GRN,Nina LUXENBERG,9,8,1,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Write-In Totals,0,0,0,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Total Votes,688,492,190,6
Santa Cruz,Nogales 1,Corporation Commissioner,,,Over Votes,3,0,3,0
Santa Cruz,Nogales 1,Corporation Commissioner,,,Under Votes,230,117,107,6
Santa Cruz,Nogales 1,Board of Supervisors,1,DEM,Luis Carlos DAVIS,182,125,55,2
Santa Cruz,Nogales 1,Board of Supervisors,1,REP,Mike MELENDEZ,48,23,24,1
Santa Cruz,Nogales 1,Board of Supervisors,1,IND,"Luis ""Louie"" PARRA JR.",61,42,18,1
Santa Cruz,Nogales 1,Board of Supervisors,1,,Write-In Totals,2,1,1,0
Santa Cruz,Nogales 1,Board of Supervisors,1,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,Board of Supervisors,1,,Total Votes,293,191,98,4
Santa Cruz,Nogales 1,Board of Supervisors,1,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,Board of Supervisors,1,,Under Votes,14,12,2,0
Santa Cruz,Nogales 1,County Assessor,,DEM,Pablo A. RAMOS,247,163,82,2
Santa Cruz,Nogales 1,County Assessor,,,Write-In Totals,4,2,1,1
Santa Cruz,Nogales 1,County Assessor,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,County Assessor,,,Total Votes,251,165,83,3
Santa Cruz,Nogales 1,County Assessor,,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,County Assessor,,,Under Votes,56,38,17,1
Santa Cruz,Nogales 1,County Attorney,,DEM,George SILVA,240,158,80,2
Santa Cruz,Nogales 1,County Attorney,,,Write-In Totals,1,0,0,1
Santa Cruz,Nogales 1,County Attorney,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,County Attorney,,,Total Votes,241,158,80,3
Santa Cruz,Nogales 1,County Attorney,,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,County Attorney,,,Under Votes,66,45,20,1
Santa Cruz,Nogales 1,County Recorder,,DEM,"Ana ""Anita"" MORENO",266,179,85,2
Santa Cruz,Nogales 1,County Recorder,,,Write-In Totals,2,0,1,1
Santa Cruz,Nogales 1,County Recorder,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,County Recorder,,,Total Votes,268,179,86,3
Santa Cruz,Nogales 1,County Recorder,,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,County Recorder,,,Under Votes,39,24,14,1
Santa Cruz,Nogales 1,County School Superintendent,,DEM,Alfredo I. VELASQUEZ,263,175,85,3
Santa Cruz,Nogales 1,County School Superintendent,,,Write-In Totals,3,0,2,1
Santa Cruz,Nogales 1,County School Superintendent,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,County School Superintendent,,,Total Votes,266,175,87,4
Santa Cruz,Nogales 1,County School Superintendent,,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,County School Superintendent,,,Under Votes,41,28,13,0
Santa Cruz,Nogales 1,County Sheriff,,DEM,David HATHAWAY,223,144,78,1
Santa Cruz,Nogales 1,County Sheriff,,IND,Travis ARNOLD,67,50,14,3
Santa Cruz,Nogales 1,County Sheriff,,,Write-In Totals,0,0,0,0
Santa Cruz,Nogales 1,County Sheriff,,,Not Assigned,0,0,0,0
Santa Cruz,Nogales 1,County Sheriff,,,Total Votes,290,194,92,4
Santa Cruz,Nogales 1,County Sheriff,,,Over Votes,0,0,0,0
Santa Cruz,Nogales 1,County Sheriff,,,Under Votes,17,9,8,0
Santa Cruz,Nogales 1,County Treasurer,,DEM,Alejandro PAZ,251,163,86,2
Santa Cruz,Nogales 1,County Treasurer,,,Write-In Totals,18,16,1,1
